,Open,High,Low,Close,Volume,Amount
2025-08-27,3869.61,3887.2,3800.35,3800.35,858633472.0,132684880.0
2025-08-28,3796.71,3845.09,3761.42,3843.6,788351936.0,126518560.0
2025-08-29,3842.82,3867.61,3839.21,3857.93,739462336.0,122169184.0
2025-09-01,3869.75,3879.05,3853.66,3875.53,747709568.0,120834792.0
2025-09-02,3877.09,3885.31,3828.68,3858.13,762618816.0,122277760.0
2025-09-03,3865.29,3868.39,3794.88,3813.56,645668480.0,101229608.0
2025-09-04,3807.76,3808.4,3732.84,3765.88,710227904.0,110789200.0
2025-09-05,3761.88,3817.16,3745.31,3812.51,626223360.0,97906168.0
2025-09-08,3811.67,3833.14,3803.6,3826.84,660066880.0,102588376.0
2025-09-09,3816.66,3834.67,3791.72,3807.29,600239360.0,91779528.0
2025-09-10,3806.58,3827.0,3794.06,3812.22,534539840.0,82111360.0
2025-09-11,3806.06,3875.31,3796.43,3875.31,617012928.0,101679400.0
2025-09-12,3875.51,3892.74,3866.54,3870.6,700641792.0,109380728.0
2025-09-15,3876.1,3879.74,3855.97,3860.5,644793920.0,98617200.0
2025-09-16,3865.98,3876.69,3838.65,3861.87,673439744.0,98978616.0
2025-09-17,3854.07,3882.67,3848.95,3876.34,663434688.0,100667912.0
2025-09-18,3876.06,3899.96,3801.0,3831.66,876027392.0,136596240.0
2025-09-19,3830.44,3843.17,3811.9,3820.09,682292608.0,101634824.0
2025-09-22,3822.01,3831.74,3806.2,3828.58,568325696.0,94180000.0
2025-09-23,3830.14,3838.61,3774.53,3821.83,701902848.0,107169784.0
2025-09-24,3804.48,3854.92,3804.33,3853.64,602056640.0,101570784.0
2025-09-25,3852.43,3866.11,3840.46,3853.3,589950528.0,100121136.0
2025-09-26,3839.86,3856.61,3828.11,3828.11,551275328.0,92786488.0
2025-09-29,3828.17,3881.0,3809.54,3862.53,608466368.0,96821240.0
2025-09-30,3869.7,3887.57,3866.28,3882.78,569734656.0,97327496.0
2025-10-09,3898.31,3936.58,3885.74,3933.97,725218496.0,121688872.0
2025-10-10,3915.48,3933.01,3886.31,3897.03,718917696.0,113212720.0
2025-10-13,3800.11,3895.83,3800.11,3889.5,709506112.0,108541360.0
2025-10-14,3910.78,3918.44,3851.12,3865.23,800839616.0,120998384.0
2025-10-15,3867.54,3912.29,3857.67,3912.21,645012928.0,96155216.0
2025-10-16,3900.68,3931.05,3899.17,3916.23,595451520.0,86926456.0
2025-10-17,3912.04,3921.06,3835.36,3839.76,617563008.0,87318160.0
2025-10-20,3865.55,3877.72,3850.37,3863.89,549261696.0,77250328.0
2025-10-21,3870.75,3919.32,3868.15,3916.33,599415744.0,83793840.0
2025-10-22,3896.07,3918.59,3893.33,3913.76,543117312.0,74152480.0
2025-10-23,3904.16,3926.22,3877.53,3922.41,565189248.0,71893104.0
2025-10-24,3929.12,3950.31,3928.96,3950.31,567858432.0,85849128.0
2025-10-27,3969.22,3999.07,3963.1,3996.94,637589568.0,104340400.0
2025-10-28,3986.89,4010.73,3976.83,3988.22,577357696.0,94076088.0
2025-10-29,3990.27,4016.33,3986.94,4016.33,612917440.0,96821568.0
2025-10-30,4007.82,4025.7,3984.83,3986.9,668485632.0,107005856.0
2025-10-31,3985.06,3986.74,3951.73,3954.79,675615424.0,103110464.0
2025-11-03,3954.08,3977.31,3937.02,3976.52,641245952.0,94170368.0
2025-11-04,3973.46,3985.88,3938.52,3960.19,615493760.0,85293840.0
2025-11-05,3922.58,3979.75,3922.58,3969.25,614991616.0,82713360.0
2025-11-06,3973.35,4008.8,3973.35,4007.76,627367552.0,93027552.0
2025-11-07,3994.32,4012.01,3993.69,3997.56,596507008.0,87548680.0
2025-11-10,4001.79,4018.7,3990.84,4018.6,634049984.0,96058864.0
2025-11-11,4023.88,4024.94,3991.52,4002.76,581994944.0,85836216.0
2025-11-12,3996.56,4020.38,3980.68,4000.14,586193216.0,84046720.0
2025-11-13,3996.51,4030.4,3994.77,4029.5,613031040.0,87640096.0
2025-11-14,4007.13,4034.08,3990.31,3990.49,622017088.0,83796952.0
2025-11-17,3988.56,3992.4,3958.95,3972.03,592017920.0,80573312.0
2025-11-18,3962.44,3966.89,3926.59,3939.81,594411072.0,79094864.0
2025-11-19,3937.92,3960.05,3930.07,3946.74,531149600.0,72090880.0
2025-11-20,3960.7,3967.97,3927.51,3931.05,534749536.0,71134128.0
2025-11-21,3896.66,3912.01,3834.75,3834.89,631646272.0,82493112.0
2025-11-24,3848.66,3854.33,3816.58,3836.77,504601728.0,71553920.0
2025-11-25,3850.57,3882.03,3845.14,3870.02,478727616.0,72278880.0
2025-11-26,3867.43,3879.92,3861.18,3864.18,457589760.0,70101984.0
