,Open,High,Low,Close,Volume,Amount
2025-08-27,44.86,47.01,44.74,44.82,200969024.0,927834.0
2025-08-28,44.83,45.94,44.19,45.94,165324128.0,748480.0
2025-08-29,45.93,47.2,45.01,45.82,173029408.0,797116.88
2025-09-01,45.94,46.64,44.74,45.11,140621008.0,640167.13
2025-09-02,44.92,45.43,43.34,43.64,148018336.0,655733.5
2025-09-03,43.85,44.27,42.83,43.06,100889944.0,440264.19
2025-09-04,43.55,45.53,43.34,44.23,200637664.0,894149.13
2025-09-05,44.2,47.04,43.54,47.04,228191536.0,1048929.13
2025-09-08,48.93,51.76,48.62,49.59,289125504.0,1455710.25
2025-09-09,49.62,50.59,47.32,47.55,188129328.0,910350.25
2025-09-10,46.12,48.81,45.66,47.93,201877344.0,954939.19
2025-09-11,47.04,52.74,46.35,52.74,284214400.0,1430645.38
2025-09-12,54.04,55.5,52.3,52.55,425849216.0,2309305.75
2025-09-15,51.98,54.07,51.91,52.58,249499808.0,1323738.38
2025-09-16,52.5,54.04,51.99,52.23,200349024.0,1061098.88
2025-09-17,52.47,52.83,51.34,51.85,194955232.0,1019239.0
2025-09-18,51.34,54.78,50.94,52.95,315536224.0,1669244.0
2025-09-19,54.15,57.75,53.87,55.25,319704000.0,1782756.75
2025-09-22,60.79,60.79,59.97,60.79,90279352.0,550160.06
2025-09-23,66.89,66.89,63.5,65.54,554123904.0,3635384.0
2025-09-24,64.07,72.04,63.54,70.04,451635552.0,2990669.0
2025-09-25,69.64,71.42,68.04,68.58,331771552.0,2298886.25
2025-09-26,68.56,68.62,64.0,64.09,332090880.0,2196550.5
2025-09-29,64.09,65.2,62.52,64.64,262852480.0,1691839.25
2025-09-30,65.24,66.22,63.6,64.53,229529056.0,1488445.38
2025-10-09,63.68,65.99,63.2,65.14,261650976.0,1704651.0
2025-10-10,64.34,64.79,60.05,60.64,260955088.0,1625852.5
2025-10-13,54.96,58.21,54.96,57.59,267290304.0,1530647.5
2025-10-14,58.64,59.81,54.39,54.85,248599088.0,1424131.63
2025-10-15,54.88,58.22,53.72,58.04,242527392.0,1367349.5
2025-10-16,57.88,61.44,57.57,59.04,256325536.0,1533403.75
2025-10-17,59.09,59.09,55.24,55.33,179240224.0,1016562.0
2025-10-20,56.7,57.69,56.28,56.99,162519568.0,927250.81
2025-10-21,58.84,62.71,58.79,60.99,292936576.0,1782115.13
2025-10-22,59.94,60.99,59.37,59.95,132425024.0,798654.31
2025-10-23,59.14,60.29,58.12,59.98,109740952.0,652469.31
2025-10-24,60.73,63.99,60.5,63.75,234445776.0,1473675.63
2025-10-27,65.72,65.83,63.37,65.24,233992064.0,1519542.25
2025-10-28,64.54,65.64,63.84,64.5,142632784.0,926274.06
2025-10-29,65.75,67.32,65.01,67.12,180052784.0,1198370.38
2025-10-30,66.94,67.13,63.5,64.88,178788416.0,1167578.63
2025-10-31,66.04,66.72,62.84,62.84,173415232.0,1115867.5
2025-11-03,62.64,62.8,60.53,62.76,140414272.0,869326.13
2025-11-04,62.34,62.68,59.9,60.38,128990576.0,790110.44
2025-11-05,58.44,61.3,58.2,60.82,112172864.0,676039.75
2025-11-06,60.82,61.7,59.64,61.5,132471320.0,807558.5
2025-11-07,60.56,60.84,59.68,59.74,105363368.0,634631.31
2025-11-10,59.34,60.04,57.05,58.24,153527584.0,891165.56
2025-11-11,58.82,58.99,56.07,56.33,108489720.0,618929.31
2025-11-12,56.28,58.3,56.21,57.61,135717536.0,781541.69
2025-11-13,57.04,58.19,56.72,57.22,93995272.0,539744.5
2025-11-14,56.5,58.07,55.94,56.35,101754424.0,582932.44
2025-11-17,56.33,57.28,55.96,56.39,74185640.0,420565.72
2025-11-18,55.96,57.59,55.24,56.45,105402888.0,597406.31
2025-11-19,56.84,57.78,56.25,56.59,93532984.0,533093.69
2025-11-20,57.94,58.04,55.52,55.59,95981224.0,543603.06
2025-11-21,53.84,54.12,52.64,52.69,149999600.0,802060.19
2025-11-24,53.03,53.69,52.04,53.09,95703000.0,507729.34
2025-11-25,54.06,56.23,53.88,55.54,145075984.0,805018.81
2025-11-26,55.16,58.69,54.75,57.44,159153920.0,913636.56
2025-11-27,57.54,58.97,56.64,56.8,126380424.0,731981.0
2025-11-28,56.66,58.02,56.59,57.62,96257752.0,554354.25
2025-12-01,57.69,59.13,56.24,58.45,137736224.0,796990.44
