Pattern,Bullish_Signals,Valid_Trades,Win_Count,Lose_Count,Win_Rate(%),Avg_Change(%)
CDL3INSIDE,2,2,2,0,100.0,0.36
CDLDRAGONFLYDOJI,2,2,2,0,100.0,0.84
CDLTASUKIGAP,1,1,1,0,100.0,0.24
CDLTAKURI,2,2,2,0,100.0,0.84
CDLXSIDEGAP3METHODS,1,1,1,0,100.0,0.55
CDLUNIQUE3RIVER,1,1,1,0,100.0,0.29
CDLMORNINGDOJISTAR,2,2,2,0,100.0,0.88
CDLHIKKAKE,8,8,6,2,75.0,0.72
CDLINVERTEDHAMMER,4,4,3,1,75.0,0.55
CDLMORNINGSTAR,4,4,3,1,75.0,0.04
CDLPIERCING,3,3,2,1,66.67,-0.1
CDLGRAVESTONEDOJI,6,6,4,2,66.67,0.28
CDLHIGHWAVE,29,28,18,10,64.29,0.16
CDLMARUBOZU,30,30,18,12,60.0,0.08
CDLLONGLEGGEDDOJI,55,54,32,22,59.26,0.11
CDLDOJI,55,54,32,22,59.26,0.11
CDLBELTHOLD,50,50,29,21,58.0,0.08
CDLSPINNINGTOP,41,40,23,17,57.5,0.11
CDLRICKSHAWMAN,45,44,25,19,56.82,0.1
CDLLONGLINE,55,55,31,24,56.36,0.04
CDLSHORTLINE,29,29,16,13,55.17,-0.08
CDL3OUTSIDE,15,15,8,7,53.33,0.04
CDLCLOSINGMARUBOZU,51,51,27,24,52.94,-0.08
CDLDOJISTAR,4,4,2,2,50.0,0.36
CDLENGULFING,27,27,13,14,48.15,-0.03
CDLHAMMER,5,5,2,3,40.0,-0.3
CDLMATCHINGLOW,3,3,1,2,33.33,-0.37
CDL3WHITESOLDIERS,1,1,0,1,0.0,-0.12
CDLHOMINGPIGEON,2,2,0,2,0.0,-0.11
CDLHARAMICROSS,1,1,0,1,0.0,-0.07
CDLHARAMI,5,5,0,5,0.0,-0.47
CDLSEPARATINGLINES,1,1,0,1,0.0,-0.1
