Pattern,Bullish,Bearish,Trades,Win Rate(%),Total Win,Total Loss,Profit Factor,Sharpe,Total Return(%)
CDLDOJI,51,0,33,57.58,67760.99,40482.01,1.67,1.08,27.28
CDLLONGLEGGEDDOJI,50,0,32,56.25,64451.3,39359.93,1.64,1.05,25.09
CDLLONGLINE,32,38,25,60.0,59661.29,37216.18,1.6,1.01,22.45
CDLRICKSHAWMAN,35,0,25,56.0,34997.94,31552.72,1.11,0.28,3.45
CDLBELTHOLD,35,33,24,62.5,68326.32,28391.06,2.41,1.61,39.94
CDLSPINNINGTOP,29,42,20,55.0,19375.47,26335.08,0.74,-0.29,-6.96
CDLENGULFING,23,13,19,52.63,36430.64,50950.17,0.72,-0.57,-14.52
CDLCLOSINGMARUBOZU,16,26,15,46.67,24251.0,25441.7,0.95,0.04,-1.19
CDLHIKKAKE,15,10,15,46.67,48710.49,29830.98,1.63,1.01,18.88
CDLHIGHWAVE,13,25,13,53.85,28510.33,12061.06,2.36,1.17,16.45
CDLHAMMER,12,0,12,41.67,24846.78,22787.86,1.09,0.21,2.06
CDLSHORTLINE,12,19,11,54.55,15176.67,28003.91,0.54,-0.77,-12.83
CDL3OUTSIDE,10,7,8,62.5,24415.74,9502.86,2.57,1.04,14.91
CDLDOJISTAR,7,2,7,14.29,2589.17,14027.69,0.18,-1.09,-11.44
CDLGRAVESTONEDOJI,7,0,7,57.14,30593.08,7032.61,4.35,1.55,23.56
CDLINVERTEDHAMMER,7,0,7,28.57,9990.22,12821.06,0.78,-0.24,-2.83
CDLHARAMI,6,15,6,83.33,34525.28,1823.62,18.93,2.26,32.7
CDLTAKURI,6,0,6,66.67,8377.51,6553.32,1.28,0.21,1.82
CDLMATCHINGLOW,6,0,6,83.33,30175.97,3983.44,7.58,1.95,26.19
CDLDRAGONFLYDOJI,6,0,6,66.67,8377.51,6553.32,1.28,0.21,1.82
CDLMARUBOZU,5,16,5,60.0,12210.84,3676.94,3.32,1.04,8.53
CDL3INSIDE,4,0,4,75.0,24853.71,7161.23,3.47,1.44,17.69
CDLHARAMICROSS,3,4,3,100.0,12616.1,0.0,inf,1.68,12.62
CDLMORNINGSTAR,3,0,3,33.33,2809.86,3637.44,0.77,-0.18,-0.83
CDLHOMINGPIGEON,3,0,3,100.0,25579.12,0.0,inf,2.04,25.58
CDLXSIDEGAP3METHODS,2,1,2,0.0,0.0,2713.63,0.0,-0.45,-2.71
CDLPIERCING,1,0,1,0.0,0.0,1637.91,0.0,-0.61,-1.64
CDLSTICKSANDWICH,1,0,1,100.0,3825.1,0.0,inf,1.22,3.83
CDLTASUKIGAP,1,2,1,100.0,6111.1,0.0,inf,1.13,6.11
