feature,value
close__variance_larger_than_standard_deviation,1.0
close__has_duplicate_max,0.0
close__has_duplicate_min,0.0
close__has_duplicate,1.0
close__sum_values,9978.199999999999
close__abs_energy,578723.9516000001
close__mean_abs_change,1.3971264367816094
close__mean_change,0.1585057471264368
close__mean_second_derivative_central,0.00985549132947978
close__median,56.9
close__mean,57.01828571428571
close__length,175.0
close__standard_deviation,7.477239018978782
close__variation_coefficient,0.1311375627188558
close__variance,55.90910334693878
close__skewness,0.6228979577361115
close__kurtosis,0.12076924731574712
close__root_mean_square,57.506469280793596
close__absolute_sum_of_changes,243.10000000000002
close__longest_strike_below_mean,50.0
close__longest_strike_above_mean,28.0
close__count_above_mean,86.0
close__count_below_mean,89.0
close__last_location_of_maximum,0.96
close__first_location_of_maximum,0.9542857142857143
close__last_location_of_minimum,0.03428571428571425
close__first_location_of_minimum,0.02857142857142857
close__percentage_of_reoccurring_values_to_all_values,0.023391812865497075
close__percentage_of_reoccurring_datapoints_to_all_datapoints,0.045714285714285714
close__sum_of_reoccurring_values,231.43
close__sum_of_reoccurring_data_points,462.86
close__ratio_value_number_to_time_series_length,0.9771428571428571
close__sample_entropy,0.5751397032013517
close__maximum,80.15
close__absolute_maximum,80.15
close__minimum,43.06
close__benford_correlation,-0.2655259899032062
close__time_reversal_asymmetry_statistic__lag_1,1936.5435178034677
close__time_reversal_asymmetry_statistic__lag_2,4039.818773298245
close__time_reversal_asymmetry_statistic__lag_3,6557.040890556216
close__c3__lag_1,194376.35884168211
close__c3__lag_2,193527.6411318304
close__c3__lag_3,192521.87078373373
close__cid_ce__normalize_True,3.408538253433794
close__cid_ce__normalize_False,25.48645522625695
close__symmetry_looking__r_0.0,0.0
close__symmetry_looking__r_0.05,1.0
close__symmetry_looking__r_0.1,1.0
close__symmetry_looking__r_0.15000000000000002,1.0
close__symmetry_looking__r_0.2,1.0
close__symmetry_looking__r_0.25,1.0
close__symmetry_looking__r_0.30000000000000004,1.0
close__symmetry_looking__r_0.35000000000000003,1.0
close__symmetry_looking__r_0.4,1.0
close__symmetry_looking__r_0.45,1.0
close__symmetry_looking__r_0.5,1.0
close__symmetry_looking__r_0.55,1.0
close__symmetry_looking__r_0.6000000000000001,1.0
close__symmetry_looking__r_0.65,1.0
close__symmetry_looking__r_0.7000000000000001,1.0
close__symmetry_looking__r_0.75,1.0
close__symmetry_looking__r_0.8,1.0
close__symmetry_looking__r_0.8500000000000001,1.0
close__symmetry_looking__r_0.9,1.0
close__symmetry_looking__r_0.9500000000000001,1.0
close__large_standard_deviation__r_0.05,1.0
close__large_standard_deviation__r_0.1,1.0
close__large_standard_deviation__r_0.15000000000000002,1.0
close__large_standard_deviation__r_0.2,1.0
close__large_standard_deviation__r_0.25,0.0
close__large_standard_deviation__r_0.30000000000000004,0.0
close__large_standard_deviation__r_0.35000000000000003,0.0
close__large_standard_deviation__r_0.4,0.0
close__large_standard_deviation__r_0.45,0.0
close__large_standard_deviation__r_0.5,0.0
close__large_standard_deviation__r_0.55,0.0
close__large_standard_deviation__r_0.6000000000000001,0.0
close__large_standard_deviation__r_0.65,0.0
close__large_standard_deviation__r_0.7000000000000001,0.0
close__large_standard_deviation__r_0.75,0.0
close__large_standard_deviation__r_0.8,0.0
close__large_standard_deviation__r_0.8500000000000001,0.0
close__large_standard_deviation__r_0.9,0.0
close__large_standard_deviation__r_0.9500000000000001,0.0
close__quantile__q_0.1,48.112
close__quantile__q_0.2,50.364
close__quantile__q_0.3,52.094
close__quantile__q_0.4,55.186
close__quantile__q_0.6,58.048
close__quantile__q_0.7,59.35
close__quantile__q_0.8,62.776
close__quantile__q_0.9,67.83
close__autocorrelation__lag_0,1.0
close__autocorrelation__lag_1,0.9525535031145571
close__autocorrelation__lag_2,0.9047670824239626
close__autocorrelation__lag_3,0.8548827114212795
close__autocorrelation__lag_4,0.8003468096837569
close__autocorrelation__lag_5,0.7424625272216804
close__autocorrelation__lag_6,0.6793816433373101
close__autocorrelation__lag_7,0.6211395662810801
close__autocorrelation__lag_8,0.5598027542070165
close__autocorrelation__lag_9,0.510415364842369
"close__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.09442674010532062
"close__agg_autocorrelation__f_agg_""median""__maxlag_40",-0.004714580680697097
"close__agg_autocorrelation__f_agg_""var""__maxlag_40",0.18086171101702528
close__partial_autocorrelation__lag_0,1.0
close__partial_autocorrelation__lag_1,0.9525535031145571
close__partial_autocorrelation__lag_2,-0.02796894284082199
close__partial_autocorrelation__lag_3,-0.047738857722967765
close__partial_autocorrelation__lag_4,-0.07713137067132819
close__partial_autocorrelation__lag_5,-0.06627184089470572
close__partial_autocorrelation__lag_6,-0.08841132821583407
close__partial_autocorrelation__lag_7,0.0182597733148502
close__partial_autocorrelation__lag_8,-0.06469548678596664
close__partial_autocorrelation__lag_9,0.09715019580385394
close__number_cwt_peaks__n_1,18.0
close__number_cwt_peaks__n_5,20.0
close__number_peaks__n_1,40.0
close__number_peaks__n_3,17.0
close__number_peaks__n_5,11.0
close__number_peaks__n_10,3.0
close__number_peaks__n_50,0.0
close__binned_entropy__max_bins_10,2.034721308337004
close__index_mass_quantile__q_0.1,0.11428571428571428
close__index_mass_quantile__q_0.2,0.21142857142857144
close__index_mass_quantile__q_0.3,0.3028571428571429
close__index_mass_quantile__q_0.4,0.4
close__index_mass_quantile__q_0.6,0.6057142857142858
close__index_mass_quantile__q_0.7,0.72
close__index_mass_quantile__q_0.8,0.8342857142857143
close__index_mass_quantile__q_0.9,0.9257142857142857
"close__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",0.39488128710687187
"close__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",-4.387080915015655
"close__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",-23.446185204434517
"close__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",-30.362867891207586
"close__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",25.632892866999704
"close__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",11.258639754207595
"close__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",-11.960533272029943
"close__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",-19.71257408371533
"close__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",34.92205467046973
"close__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",24.874460313874447
"close__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",-0.9499774847092987
"close__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",-8.870307025264925
"close__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)",26.857051036554033
"close__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",35.16840774821365
"close__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",10.188848917584313
"close__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",1.394338027099687
"close__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)",12.198363290019719
"close__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)",40.88775115448884
"close__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)",20.364568009858225
"close__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",12.184103020912369
"close__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)",1.1914665787892562
"close__cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)",42.25434077040036
"close__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)",30.119654865980575
"close__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",22.959272002433906
"close__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)",-2.857346938608126
"close__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)",39.82787231064689
"close__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",38.920712552775306
"close__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",33.588133129471686
"close__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)",-2.119617894164448
"close__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)",34.57721788228014
"close__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",46.434088261180406
"close__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",44.08594390403809
"close__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",-0.4351389524582799
"close__cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)",27.709969836251982
"close__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",52.948898516320796
"close__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",53.71578433405353
"close__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)",0.12749630585628793
"close__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)",20.19115104468747
"close__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",58.22009134731865
"close__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",63.48319229445309
"close__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",0.32555611414443547
"close__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)",13.184761487332695
"close__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",62.325563490907854
"close__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",72.90406956507074
"close__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)",1.3750071247524707
"close__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)",7.240690252654913
"close__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)",65.38567293687957
"close__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",81.7802046779516
"close__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",2.4513368308351966
"close__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)",2.81662146538078
"close__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",67.45929623805839
"close__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",90.24584387603132
"close__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",1.5674247283737641
"close__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",0.25526203964966043
"close__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",68.4985890719647
"close__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",97.76220489362031
"close__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)",-1.8950281456447884
"close__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",-0.33018420883564625
"close__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",68.86974495850767
"close__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",105.0046433046939
close__spkt_welch_density__coeff_2,564.9217732353225
close__spkt_welch_density__coeff_5,14.93282237832181
close__spkt_welch_density__coeff_8,43.3785401147608
close__ar_coefficient__coeff_0__k_10,2.4797319140437417
close__ar_coefficient__coeff_1__k_10,1.117639130282435
close__ar_coefficient__coeff_2__k_10,-0.1821731621893532
close__ar_coefficient__coeff_3__k_10,0.06775596545748566
close__ar_coefficient__coeff_4__k_10,-0.03778217997333142
close__ar_coefficient__coeff_5__k_10,0.055301051202685386
close__ar_coefficient__coeff_6__k_10,-0.15782506166372115
close__ar_coefficient__coeff_7__k_10,0.1303091747289555
close__ar_coefficient__coeff_8__k_10,-0.10048403871908256
close__ar_coefficient__coeff_9__k_10,0.22056761678342496
close__ar_coefficient__coeff_10__k_10,-0.15448512868843117
"close__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0",-0.058999999999999865
"close__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",1.5938356666666682
"close__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",0.9930000000000002
"close__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",0.611267666666668
"close__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",0.1357812500000002
"close__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",2.0167618896484383
"close__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",0.9854687500000001
"close__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",1.064049780273438
"close__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",0.11556701030927836
"close__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",2.1181133382931243
"close__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",1.0386597938144333
"close__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",1.0526549048783083
"close__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",0.0897810218978102
"close__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",2.498767105333263
"close__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",1.1528467153284672
"close__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",1.1777721881826417
"close__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.1585057471264368
"close__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",3.7079759281278912
"close__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",1.3971264367816094
"close__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",1.7811377196459248
"close__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2",-0.013599999999999852
"close__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",0.6420230400000001
"close__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",0.5728
"close__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",0.31410816000000014
