indicator,n,ic_median,ic_mean,ic_std,ic_pos_count,ic_pos_rate,ic_strong_pos,ic_strong_neg
mfi14,88,-0.03060244174939761,-0.03287576644690246,0.11121820842187441,28,0.3181818181818182,18,37
stoch_k,88,-0.032856208369260086,-0.04118067365488533,0.10428549777170798,29,0.32954545454545453,15,39
adx14,88,-0.03339347013116223,-0.04778331996823231,0.11114024464380766,31,0.3522727272727273,17,40
bband_pctb,88,-0.051465250033065534,-0.04594179508805565,0.11283109015528088,28,0.3181818181818182,20,44
amount,88,-0.05180686289360538,-0.06145677012618469,0.10358820483487342,28,0.3181818181818182,12,45
rsi14,88,-0.060107991828460355,-0.06037319835411515,0.12115533095349476,23,0.26136363636363635,17,47
macd,88,-0.06731524329077687,-0.08466427854569272,0.11424239896251644,22,0.25,8,51
obv,88,-0.0826717210898194,-0.09051092232760315,0.12507233964782524,22,0.25,15,54
atr14,88,-0.11920197034507633,-0.11518174730164157,0.09971441682503907,10,0.11363636363636363,5,64
ma10,88,-0.17209018858129332,-0.15967559070864903,0.12321843154565817,10,0.11363636363636363,4,70
ma20,88,-0.1763896743143511,-0.15080851835213654,0.12123721309947053,10,0.11363636363636363,5,67
ma5,88,-0.18389854045027243,-0.16950012041871923,0.12473480618341004,9,0.10227272727272728,3,70
vwap,88,-0.20423651517367336,-0.18572837866340056,0.1291194338647829,7,0.07954545454545454,4,75
