stock,win_end_date,cur_close,up_proba,past_5d_ret,past_5d_dir,real_fwd_ret,real_fwd_dir
300274.SZ,2026-06-23,152.0,1.0,1.95,up,,
300033.SZ,2026-06-23,249.4,1.0,17.24,up,,
688300.SH,2026-06-23,238.93,1.0,12.12,up,,
603268.SH,2026-06-23,142.35,0.9999,-10.13,down,,
002384.SZ,2026-06-23,255.02,0.9983,6.56,up,,
688111.SH,2026-06-23,215.43,0.9962,-1.18,down,,
688617.SH,2026-06-23,186.88,0.9858,-9.02,down,,
605499.SH,2026-06-23,116.15,0.9813,-9.44,down,,
600809.SH,2026-06-23,109.18,0.9671,-8.47,down,,
002463.SZ,2026-06-23,138.5,0.964,3.54,up,,
300059.SZ,2026-06-23,20.9,0.9449,10.64,up,,
300803.SZ,2026-06-23,103.6,0.9234,11.16,up,,
603568.SH,2026-06-23,15.5,0.9052,-8.93,down,,
600346.SH,2026-06-23,18.17,0.8862,-1.94,down,,
603259.SH,2026-06-23,106.31,0.864,6.98,up,,
600388.SH,2026-06-23,15.84,0.8627,-9.85,down,,
600585.SH,2026-06-23,17.44,0.8549,-5.42,down,,
603993.SH,2026-06-23,19.49,0.8465,-6.84,down,,
600803.SH,2026-06-23,16.72,0.8421,-5.0,down,,
000708.SZ,2026-06-23,13.38,0.8419,-4.97,down,,
002468.SZ,2026-06-23,13.74,0.8348,-1.72,down,,
600754.SH,2026-06-23,19.26,0.8346,-4.65,down,,
002602.SZ,2026-06-23,12.97,0.833,-7.03,down,,
603733.SH,2026-06-23,25.04,0.8288,-8.21,down,,
601155.SH,2026-06-23,10.75,0.8243,-8.35,down,,
601061.SH,2026-06-23,11.53,0.8222,-4.32,down,,
600323.SH,2026-06-23,28.05,0.819,-7.58,down,,
300413.SZ,2026-06-23,15.42,0.8124,-4.52,down,,
600221.SH,2026-06-23,1.43,0.8069,-5.92,down,,
600415.SH,2026-06-23,10.58,0.8053,-2.67,down,,
605117.SH,2026-06-23,101.44,0.8049,0.48,up,,
002001.SZ,2026-06-23,29.75,0.7944,-1.62,down,,
000895.SZ,2026-06-23,22.78,0.745,-5.67,down,,
603298.SH,2026-06-23,24.79,0.6942,-1.59,down,,
600989.SH,2026-06-23,21.91,0.6564,-1.75,down,,
002837.SZ,2026-06-23,81.48,0.64,15.53,up,,
600030.SH,2026-06-23,28.32,0.6347,5.44,up,,
601899.SH,2026-06-23,27.75,0.6195,-11.37,down,,
603776.SH,2026-06-23,21.54,0.6121,7.11,up,,
601127.SH,2026-06-23,63.0,0.6031,-7.62,down,,
002648.SZ,2026-06-23,25.18,0.569,8.21,up,,
600673.SH,2026-06-23,33.8,0.5513,2.11,up,,
603816.SH,2026-06-23,23.08,0.5504,-12.21,down,,
603899.SH,2026-06-23,21.4,0.5431,-4.97,down,,
002415.SZ,2026-06-23,31.41,0.5384,2.28,up,,
002558.SZ,2026-06-23,25.19,0.5369,3.62,up,,
688187.SH,2026-06-23,61.58,0.5208,11.3,up,,
600900.SH,2026-06-23,26.87,0.5015,-2.54,down,,
000408.SZ,2026-06-23,72.5,0.4622,-11.43,down,,
603195.SH,2026-06-23,39.33,0.4609,-1.8,down,,
601689.SH,2026-06-23,58.02,0.4571,-5.96,down,,
603605.SH,2026-06-23,58.12,0.4564,-12.72,down,,
600968.SH,2026-06-23,3.79,0.4475,-2.82,down,,
601336.SH,2026-06-23,62.32,0.4466,-1.39,down,,
601225.SH,2026-06-23,22.58,0.439,-10.61,down,,
603699.SH,2026-06-23,53.55,0.4068,-4.38,down,,
600036.SH,2026-06-23,37.4,0.3931,-3.98,down,,
002475.SZ,2026-06-23,69.36,0.3699,1.78,up,,
600895.SH,2026-06-23,32.16,0.3686,-4.65,down,,
002714.SZ,2026-06-23,33.02,0.3584,-6.41,down,,
000792.SZ,2026-06-23,29.09,0.3157,-9.18,down,,
002311.SZ,2026-06-23,42.4,0.3148,-2.03,down,,
300124.SZ,2026-06-23,66.82,0.3094,-3.58,down,,
600276.SH,2026-06-23,48.98,0.2994,2.3,up,,
600018.SH,2026-06-23,4.94,0.2977,-2.18,down,,
600760.SH,2026-06-23,40.93,0.2839,-5.43,down,,
688041.SH,2026-06-23,317.0,0.2566,5.96,up,,
603099.SH,2026-06-23,37.62,0.2542,-0.56,down,,
600901.SH,2026-06-23,6.03,0.2541,-6.51,down,,
300442.SZ,2026-06-23,82.23,0.2486,4.68,up,,
601668.SH,2026-06-23,4.57,0.2129,-3.79,down,,
600039.SH,2026-06-23,8.09,0.1736,-2.76,down,,
601288.SH,2026-06-23,6.57,0.1594,-1.65,down,,
002027.SZ,2026-06-23,4.92,0.151,-8.04,down,,
601728.SH,2026-06-23,5.56,0.1418,-8.1,down,,
601360.SH,2026-06-23,9.29,0.1414,-0.75,down,,
000538.SZ,2026-06-23,48.53,0.121,-3.23,down,,
300394.SZ,2026-06-23,311.06,0.118,1.97,up,,
600461.SH,2026-06-23,9.27,0.1112,-1.49,down,,
600916.SH,2026-06-23,7.37,0.101,-7.53,down,,
002916.SZ,2026-06-23,426.0,0.0,6.55,up,,
002371.SZ,2026-06-23,747.49,0.0,9.57,up,,
600519.SH,2026-06-23,1222.45,0.0,-3.83,down,,
300308.SZ,2026-06-23,1310.01,0.0,5.22,up,,
300750.SZ,2026-06-23,392.51,0.0,-1.4,down,,
300502.SZ,2026-06-23,552.0,0.0,2.13,up,,
300476.SZ,2026-06-23,338.2,0.0,-1.83,down,,
688256.SH,2026-06-23,1413.0,0.0,5.84,up,,
