,pearson_corr_with_y,mean,std,min,max
Close__ar_coefficient__coeff_5__k_10,0.42301537898897723,0.013703866447799206,0.37360952916699375,-1.071711700988903,1.2695098167670889
Volume__partial_autocorrelation__lag_5,-0.40323479945975743,-0.016804637497471832,0.2008665994041269,-0.36209563785840215,0.5039540138779793
High__ar_coefficient__coeff_0__k_10,-0.396019864336434,20.98744348462085,38.2905633844037,-92.4733466879712,130.20365698919238
Volume__autocorrelation__lag_5,-0.3871227480562372,0.10218998058047056,0.2012329501702369,-0.2758268363456793,0.5091229068938699
"Low__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",-0.3860616540601258,2.879432624113475,3.6025292252308447,0.0,9.0
Low__count_above_mean,-0.3824224878136969,15.035460992907801,2.5111504122832695,7.0,20.0
Low__count_below_mean,0.37666817692597737,14.950354609929079,2.510908319242125,10.0,23.0
Open__count_below_mean,0.37593776491811004,15.290780141843971,2.4972527965523534,11.0,22.0
Open__count_above_mean,-0.37593776491811004,14.709219858156029,2.4972527965523534,8.0,19.0
High__ar_coefficient__coeff_1__k_10,0.37462350268348876,0.7487649310982661,0.31475009565141265,-0.05452398879623477,1.4539826241791136
Close__spkt_welch_density__coeff_8,-0.370419978098441,2.70647649349665,3.1359461460996068,0.04561408102417391,15.150631396668937
Low__quantile__q_0.4,-0.36957865212071866,53.785858156028375,3.6876655228352804,48.06,59.664
Close__quantile__q_0.4,-0.3577493516175336,54.78133333333333,3.774649173228207,48.986,60.73
Volume__autocorrelation__lag_6,-0.3536073574323057,0.06632687082742283,0.20452747420038678,-0.3570926974243367,0.47855364480615026
Close__quantile__q_0.3,-0.34638639829035156,53.85783687943263,3.6912122353041106,47.815999999999995,59.971
Low__ar_coefficient__coeff_6__k_10,0.3460474069635748,-0.05504135670824902,0.4735609584791447,-1.60784587326755,0.7465526689080768
Open__quantile__q_0.3,-0.3393888109983158,53.721375886524825,3.750629359642777,46.763999999999996,59.28
Volume__ratio_beyond_r_sigma__r_2.5,0.3392429849970512,0.02056737588652482,0.02018154683929722,0.0,0.06666666666666667
Low__ar_coefficient__coeff_7__k_10,-0.33795776506732955,-0.036511273102986075,0.3374333721340292,-0.890615450878073,0.8432337398004961
Open__ar_coefficient__coeff_5__k_10,0.3345651188241983,-0.0004676335564553141,0.31799224661563175,-0.8016224993771424,1.4438665796618588
"Volume__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",-0.3279221710010046,-4435721.647438928,7509164.733419577,-26494860.57142857,11413764.0
Open__ar_coefficient__coeff_3__k_10,-0.316750490113252,-0.0787081926288098,0.2125218153278192,-0.6010434833734921,0.623433720186009
"Close__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.30947625661900896,0.6696749408983449,0.6820636686888795,0.0,4.294999999999998
