stock,n_days,basic_net_ret,basic_trades,basic_winrate,with_ma_net_ret,with_ma_trades,with_ma_winrate,with_ma_wins,alpha_diff_pp
000408.SZ,243,0.08702291499999999,1,1.0,0.18305100500000002,3.0,1.0,True,9.602809000000002
000538.SZ,243,0.006844160000000002,3,0.6666666666666666,0.01269688,5.0,0.4,True,0.5852719999999999
000708.SZ,243,0.0,0,0.0,0.05252866,5.0,0.6,True,5.252866
000792.SZ,243,0.0657009,1,1.0,0.07354394000000002,4.0,0.5,True,0.784304000000001
000895.SZ,243,0.0,0,0.0,0.0,0.0,0.0,False,0.0
002001.SZ,243,0.004131405000000002,4,0.5,0.0031327799999999995,3.0,0.6666666666666666,False,-0.09986250000000026
002027.SZ,243,-0.065147795,6,0.5,0.026168815000000005,9.0,0.4444444444444444,True,9.131661
002311.SZ,243,0.031803250000000005,4,0.25,0.09836423000000002,8.0,0.625,True,6.656098000000002
002371.SZ,243,0.0450997,3,0.6666666666666666,0.044080970000000004,4.0,0.5,False,-0.10187299999999955
002384.SZ,243,0.07718227000000016,3,0.6666666666666666,0.3557880000000005,3.0,1.0,True,27.860573000000034
002415.SZ,243,0.007779749999999999,1,1.0,0.013242404999999999,2.0,0.5,True,0.5462655
002463.SZ,243,0.06812164499999972,5,0.4,0.10464834999999985,4.0,0.75,True,3.652670500000013
002468.SZ,243,-0.01007563,3,0.3333333333333333,0.0,0.0,0.0,False,1.007563
002475.SZ,243,0.06637182000000001,4,0.75,-0.07040340500000002,6.0,0.16666666666666666,False,-13.677522500000002
002558.SZ,243,0.09969293500000018,6,0.6666666666666666,0.03277747500000015,7.0,0.42857142857142855,False,-6.691546000000002
002602.SZ,243,-0.022257749999999996,6,0.5,0.0695599499999997,7.0,0.7142857142857143,True,9.18176999999997
002648.SZ,243,0.048042644999999995,4,0.75,0.041978384999999854,8.0,0.375,False,-0.6064260000000141
002714.SZ,243,-0.0018140650000000006,3,0.3333333333333333,0.035802324999999996,2.0,1.0,True,3.7616389999999997
002837.SZ,243,0.018213365000000002,6,0.6666666666666666,0.09268905999999999,5.0,0.6,True,7.447569499999998
002916.SZ,243,0.17835285,5,0.6,0.1572474,7.0,0.7142857142857143,False,-2.1105449999999997
300033.SZ,243,0.023418599999999998,2,0.5,-0.0336736,7.0,0.2857142857142857,False,-5.709219999999999
300059.SZ,243,-0.04611772500000001,4,0.25,0.011031550000000003,1.0,1.0,True,5.714927500000002
300124.SZ,243,0.04263058499999971,3,0.6666666666666666,-0.012026615,2.0,0.0,False,-5.465719999999971
300274.SZ,243,0.0,0,0.0,-0.10814716999999999,5.0,0.2,True,-10.814716999999998
300308.SZ,243,0.01648056000000001,4,0.5,-0.006931504999999928,4.0,0.25,False,-2.3412064999999935
300394.SZ,243,0.17180848,4,0.75,0.119360805,5.0,0.6,False,-5.244767500000001
300413.SZ,243,0.023434075,4,0.5,-0.014664124999999997,4.0,0.5,False,-3.8098199999999998
300442.SZ,243,0.07923438000000001,6,0.5,0.05244479999999999,1.0,1.0,False,-2.6789580000000015
300476.SZ,243,0.15148722,2,0.5,0.17460012000000003,3.0,0.6666666666666666,True,2.311290000000002
300502.SZ,243,0.10433314000000002,7,0.5714285714285714,0.0,0.0,0.0,False,-10.433314000000001
300750.SZ,243,0.0016160800000000006,4,0.5,0.03229679,7.0,0.2857142857142857,True,3.0680709999999998
300803.SZ,243,0.09025432499999986,4,0.75,0.03453827999999985,1.0,1.0,False,-5.5716045
600018.SH,243,0.019413264000000003,3,0.6666666666666666,-0.002519376,2.0,0.0,False,-2.193264
600030.SH,243,-0.026161485899999996,3,0.6666666666666666,-0.012520520099999998,9.0,0.3333333333333333,True,1.3640965799999998
600036.SH,243,0.04210078749999999,4,1.0,0.0080343381,2.0,0.5,False,-3.406644939999999
600039.SH,243,0.04760799149999985,1,1.0,0.0,0.0,0.0,False,-4.760799149999985
600221.SH,243,0.014853771899999993,2,0.5,,,,,
600276.SH,243,0.0107915436,2,0.5,-0.019594649599999996,7.0,0.42857142857142855,False,-3.0386193199999996
600323.SH,243,0.009623413800000003,4,0.5,-0.050046449,5.0,0.2,False,-5.96698628
600346.SH,243,0.06798617550000015,6,0.6666666666666666,0.1052138450999997,7.0,0.5714285714285714,True,3.7227669599999555
600388.SH,243,0.0179497751,7,0.42857142857142855,-0.0449083268,5.0,0.2,False,-6.28581019
600415.SH,243,-0.035920002400000005,3,0.0,-0.10955778279999986,4.0,0.5,False,-7.3637780399999855
600461.SH,243,0.03899112999999999,4,0.5,0.009987670000000146,2.0,0.5,False,-2.9003459999999848
600519.SH,243,,0,,,0.0,,,
600585.SH,243,-0.0276009253,2,0.0,9.988010000000032e-05,4.0,0.75,True,2.77008054
600673.SH,243,-0.10316565720000015,5,0.2,-0.07338557060000014,3.0,0.3333333333333333,True,2.9780086600000004
600754.SH,243,-0.018123998399999997,5,0.6,0.05655826440000001,3.0,0.6666666666666666,True,7.468226280000001
600760.SH,243,-0.052636953800000004,4,0.25,0.0166394632,8.0,0.625,True,6.927641700000001
600803.SH,243,0.0,0,0.0,-0.021421542200000004,5.0,0.6,True,-2.1421542200000006
600809.SH,243,-0.109881217,3,0.0,0.0,0.0,0.0,False,10.9881217
600895.SH,243,-0.011074293,1,0.0,-0.027947911800000003,3.0,0.0,False,-1.6873618800000003
600900.SH,243,-0.014790161100000003,4,0.0,0.0,0.0,0.0,False,1.4790161100000003
600901.SH,243,-0.07155470219999999,3,0.3333333333333333,0.0632649234,5.0,0.8,True,13.48196256
600916.SH,243,0.005020781600000001,4,0.5,-0.022814671200000143,4.0,0.25,False,-2.7835452800000144
600968.SH,243,0.0303493905,1,1.0,-0.016518568200000004,5.0,0.4,False,-4.68679587
600989.SH,243,0.019951033699999857,5,0.6,0.0268288284,1.0,1.0,True,0.6877794700000144
601061.SH,243,-0.076636,1,0.0,-0.0290652264,1.0,0.0,True,4.757077359999999
601127.SH,243,0.0489384336,2,1.0,-0.037397752,1.0,0.0,False,-8.63361856
601155.SH,243,0.0,0,0.0,0.0196055555,5.0,0.6,True,1.96055555
601225.SH,243,-0.029157596600000144,6,0.3333333333333333,-0.05648103089999999,6.0,0.3333333333333333,False,-2.7323434299999847
601288.SH,243,-0.022521915200000138,7,0.2857142857142857,0.004144227399999854,7.0,0.42857142857142855,True,2.666614259999999
601336.SH,243,0.029459766899999858,3,0.6666666666666666,0.06293443200000014,7.0,0.42857142857142855,True,3.347466510000028
601360.SH,243,0.1093533929,3,0.6666666666666666,-0.019728458799999998,3.0,0.6666666666666666,False,-12.90818517
601668.SH,243,-0.06328484250000001,5,0.2,-0.05054803050000001,6.0,0.3333333333333333,True,1.2736812
601689.SH,243,0.10350519679999999,4,0.5,0.0081349792,1.0,1.0,False,-9.537021759999998
601728.SH,243,-0.0874495788,4,0.25,-0.08101882020000001,5.0,0.0,True,0.6430758599999988
601899.SH,243,0.1224340794,4,1.0,0.17705718650000016,4.0,0.75,True,5.462310710000015
603099.SH,243,-0.01828314849999999,8,0.625,0.004707513500000005,6.0,0.3333333333333333,True,2.2990661999999995
