# === Top 10 强势行业 (588 行业指数 vs 大盘) ===
industry_code,industry_name,ret,alpha_vs_idx
881289.SH,航天装备,0.7990520118179689,0.7756275662274583
881115.SH,林业,0.23253007522327507,0.20910562963276447
881291.SH,军工电子,0.22625698324022347,0.20283253764971287
881198.SH,家电零部件,0.2030089655628582,0.1795845199723476
881019.SH,化纤,0.16938954415046226,0.14596509855995166
881094.SH,玻璃玻纤,0.1505384236298246,0.127113978039314
881338.SH,通信设备,0.14172776844706525,0.11830332285655465
881261.SH,电机制造,0.14041589932473908,0.11699145373422848
881071.SH,工业金属,0.13301174203065513,0.10958729644014453
881078.SH,能源金属,0.11692979983084295,0.09350535424033235

# === Top 10 行业 全部成分股 (α vs 大盘) ===
industry_code,industry_name,industry_ret,stock,stock_ret,alpha_vs_idx,alpha_vs_industry
881094.SH,玻璃玻纤,0.1505384236298246,603601.SH,1.4307992202729047,1.4073747746823941,1.2802607966430801
881289.SH,航天装备,0.7990520118179689,600118.SH,1.2720746590093324,1.2486502134188218,0.47302264719136344
881291.SH,军工电子,0.22625698324022347,001270.SZ,1.0028402883985144,0.9794158428080038,0.7765833051582909
881291.SH,军工电子,0.22625698324022347,000547.SZ,0.9191860465116279,0.8957616009211173,0.6929290632714045
881289.SH,航天装备,0.7990520118179689,600879.SH,0.8800705467372134,0.8566461011467028,0.08101853491924449
881338.SH,通信设备,0.14172776844706525,688387.SH,0.8376068376068377,0.8141823920163271,0.6958790691597725
881289.SH,航天装备,0.7990520118179689,601698.SH,0.7244208494208493,0.7009964038303387,-0.07463116239711964
881071.SH,工业金属,0.13301174203065513,688102.SH,0.7210128831630387,0.6975884375725281,0.5880011411323836
881071.SH,工业金属,0.13301174203065513,688456.SH,0.6763754045307444,0.6529509589402338,0.5433636625000893
881198.SH,家电零部件,0.2030089655628582,300342.SZ,0.6656611362493716,0.642236690658861,0.46265217068651343
881338.SH,通信设备,0.14172776844706525,600105.SH,0.5648379052369079,0.5414134596463973,0.42311013678984266
881338.SH,通信设备,0.14172776844706525,002792.SZ,0.5222816399286989,0.4988571943381883,0.38055387148163367
881338.SH,通信设备,0.14172776844706525,002796.SZ,0.5144729655925724,0.4910485200020618,0.37274519714550713
881291.SH,军工电子,0.22625698324022347,300516.SZ,0.5095398428731763,0.48611539728266573,0.28328285963295285
881291.SH,军工电子,0.22625698324022347,002151.SZ,0.4870703764320785,0.4636459308415679,0.26081339319185504
881261.SH,电机制造,0.14041589932473908,603344.SH,0.4807768529528338,0.4573524073623232,0.3403609536280947
881291.SH,军工电子,0.22625698324022347,688011.SH,0.47846225104214923,0.45503780545163863,0.25220526780192576
881094.SH,玻璃玻纤,0.1505384236298246,002201.SZ,0.46598202824133494,0.44255758265082434,0.31544360461151033
881289.SH,航天装备,0.7990520118179689,688523.SH,0.45086855068706244,0.42744410509655184,-0.3481834611309065
881291.SH,军工电子,0.22625698324022347,301517.SZ,0.44780162533861234,0.42437717974810174,0.22154464209838887
881291.SH,军工电子,0.22625698324022347,002413.SZ,0.43264840182648423,0.40922395623597363,0.20639141858626076
881338.SH,通信设备,0.14172776844706525,688418.SH,0.4316759960487322,0.4082515504582216,0.28994822760166694
