Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id,佣金_实扣,印花税_实扣,过户费_实扣,总手续费,净盈亏_扣费后
0,0,1100.0,2025-07-10,75.81,0.0,2025-07-17,78.3,0.0,2739.0,0.032845271072417886,Long,Closed,0,14.409285,43.065,1.69521,59.169495,2694.23979
1,0,1100.0,2025-07-23,80.09,0.0,2025-08-01,87.42,0.0,8063.0,0.09152203770757897,Long,Closed,1,15.662185000000001,48.081,1.84261,65.585795,8013.07639
2,0,1100.0,2025-08-07,86.59,0.0,2025-08-08,84.74,0.0,-2035.0,-0.021365053701351194,Long,Closed,2,16.019355,46.607,1.8846300000000002,64.510985,-2083.49163
3,0,1100.0,2025-08-12,87.59,0.0,2025-08-22,102.59,0.0,16500.0,0.17125242607603608,Long,Closed,3,17.78183,56.4245,2.09198,76.29831000000001,16441.48352
4,0,1100.0,2025-08-25,110.81,0.0,2025-09-03,119.74,0.0,9823.0,0.0805883945492284,Long,Closed,4,21.556425,65.857,2.5360500000000004,89.949475,9754.606950000001
5,0,1100.0,2025-09-12,112.59,0.0,2025-09-19,111.87,0.0,-792.0,-0.006394884092725819,Long,Closed,5,20.98701,61.5285,2.4690600000000003,84.98457,-855.9975599999999
6,0,1100.0,2025-09-30,114.73,0.0,2025-10-13,106.87,0.0,-8646.0,-0.06850867253551818,Long,Closed,6,20.7196,58.7785,2.4376,81.9357,-8707.2161
7,0,1100.0,2025-10-24,102.56,0.0,2025-10-31,104.37,0.0,1991.0,0.01764820592823713,Long,Closed,7,19.347955000000002,57.4035,2.27623,79.027685,1931.32027
8,0,1100.0,2025-11-18,92.34,0.0,2025-11-19,91.9,0.0,-484.0,-0.004764998917045701,Long,Closed,8,17.226440000000004,50.545,2.02664,69.79808000000001,-536.57164
9,0,1100.0,2025-11-25,91.58,0.0,2025-12-02,91.39,0.0,-209.0,-0.002074688796680498,Long,Closed,9,17.107695,50.2645,2.01267,69.384865,-261.27717
10,0,1100.0,2025-12-08,97.22,0.0,2025-12-12,92.22,0.0,-5500.0,-0.05142974696564493,Long,Closed,10,17.71264,50.721000000000004,2.0838400000000004,70.51747999999999,-5552.804840000001
11,0,1100.0,2025-12-18,93.3,0.0,2025-12-19,91.69,0.0,-1771.0,-0.017256162915326903,Long,Closed,11,17.296565,50.429500000000004,2.0348900000000003,69.76095500000001,-1823.4643899999999
12,0,1100.0,2025-12-23,92.21,0.0,2025-12-24,91.16,0.0,-1155.0,-0.011387051295954886,Long,Closed,12,17.145095,50.138,2.0170700000000004,69.300165,-1207.15507
13,0,1100.0,2025-12-25,93.66,0.0,2025-12-31,94.24,0.0,638.0,0.006192611573777493,Long,Open,13,17.56865,51.832,2.0669,71.46755,584.1011000000001
